% (r/a)^2, a(V_0(r)-2*E_B), stat. error, a(V_1(r)-2*E_B), stat. error, a(V_2(r)-2*E_B), stat. error
16 -3.8447722831685e-01  1.9912370624856e-03 -1.3890427663210e-02  2.7842393800841e-03  3.0601509839581e-02  8.1797505633762e-04
25 -3.4110310085042e-01  2.0806410611069e-03 -6.8315344590060e-04  9.7656733290562e-04  3.6415191649074e-02  6.6783671521958e-04
36 -3.0522746281677e-01  2.1952898972067e-03  2.2195343148034e-03  4.2753630261955e-04  3.9089008036547e-02  6.7958324466489e-04
49 -2.7354045973470e-01  2.6443518258103e-03  3.8997863893823e-03  6.4771573643838e-04  4.0820129797132e-02  6.9905527227118e-04
64 -2.4650075210267e-01  2.3787681170219e-03  4.4795527343471e-03  3.9085081655088e-04  4.0816864370008e-02  6.3162788504675e-04
81 -2.1830170904586e-01  4.0642083433111e-03  5.7222107737779e-03  7.2475061277325e-04  4.1812849251245e-02  6.4106184872110e-04
100 -2.0134288914184e-01  1.5916256359879e-03  5.2969137585456e-03  3.8171397209348e-04  4.1559537209189e-02  6.4297403514602e-04
121 -1.7893073944149e-01  2.2162010486872e-03  5.7491643968680e-03  3.6230448132634e-04  4.1052404897022e-02  6.8170373472672e-04
144 -1.5983072933923e-01  1.8755257054962e-03  5.9802559708209e-03  3.7620016863262e-04  4.0937159722884e-02  5.6836759532952e-04
169 -1.3692736901361e-01  1.9523670468705e-03  5.9913916087812e-03  3.5819094394188e-04  4.1301122031003e-02  6.6690816862363e-04
196 -1.1402292454382e-01  1.9048510824873e-03  6.1092292398632e-03  3.3390266062878e-04  4.1110823514618e-02  6.4376683100144e-04
225 -9.1864176745138e-02  2.2564613587673e-03  6.3632960473374e-03  3.8154949146585e-04  4.0624719113091e-02  6.4260952236753e-04
256 -7.0832230878941e-02  2.3603623361835e-03  6.4441050415193e-03  2.5108879105777e-04  4.0326603848699e-02  7.5737217139236e-04
289 -4.9808066162659e-02  2.3387765926896e-03  7.6011072635662e-03  4.9868610598314e-04  4.0307015294108e-02  7.6646237224408e-04
324 -3.2390956385331e-02  2.5202460846238e-03  9.9266995200763e-03  7.8134404238493e-04  4.0431055215141e-02  6.8746341820978e-04
333 -3.4516791941933e-02  4.6415707914412e-03  7.5176423645563e-03  1.3032359979591e-03  4.0076922198923e-02  6.6612314072700e-04
337 -2.6182778672111e-02  2.9860468446385e-03  1.0999948925391e-02  5.2365473650436e-04  4.0872719041094e-02  5.6014851970698e-04
340 -2.9865124650928e-02  5.8702400361773e-03  1.0507550661159e-02  7.0530402526542e-04  4.0406628075556e-02  5.6901227029910e-04
344 -2.8387290082467e-02  6.0208226481431e-03  9.8856350110256e-03  1.4603065054264e-03  4.0526734838354e-02  8.3967243143441e-04
353 -2.0867581160981e-02  4.5877438702257e-03  1.0568544697388e-02  1.1779770257065e-03  4.0279143804511e-02  8.0353944477733e-04
356 -1.8021439498782e-02  2.6481944961634e-03  1.2344214827629e-02  1.8140220642184e-03  4.0232491902495e-02  7.5170904249489e-04
361 -1.6286598048079e-02  1.7094789464423e-03  1.6459668793087e-02  1.1800491131989e-03  4.0874378694092e-02  7.9671077328705e-04
365 -1.5946357587109e-02  3.9500607441918e-03  1.5464575576631e-02  1.1558771453084e-03  4.0126291283871e-02  6.3679833342415e-04
371 -1.4464405190642e-02  1.6330855090906e-03  1.4347039140716e-02  1.4314130592235e-03  3.9430301896309e-02  5.0248188368956e-04
376 -1.3761543138824e-02  1.9366646811513e-03  1.5686281938224e-02  1.7281183803344e-03  3.9609920276429e-02  5.7939117356059e-04
381 -1.2255722626692e-02  1.3356322816919e-03  1.7735441971431e-02  4.0027142230332e-03  3.9563241546635e-02  4.9556929854872e-04
386 -1.0041275334169e-02  1.0556277253304e-03  5.6470142866615e-03  9.3536963468033e-03  3.9160134155310e-02  4.6035126658389e-04
387 -1.0166000484386e-02  3.0246085459591e-03  1.9422729259471e-02  6.1414820088945e-03  3.9150739279001e-02  5.5557117378790e-04
390 -1.3817767052536e-02  3.5251637223946e-03  1.6003426548101e-02  4.6315117485512e-03  3.9552476123714e-02  6.7618618603129e-04
395 -8.8869579906688e-03  1.0969985210729e-03  2.0096093883733e-02  3.1719071099087e-03  4.0809908586408e-02  9.8771218494908e-04
400 -7.3404458791148e-03  7.7946747111491e-04  2.7966937626158e-02  1.8535588468019e-03  4.1700150033821e-02  1.4710228850489e-03
405 -7.7889641412900e-03  9.2464632926108e-04  1.8174672638801e-02  1.1777923003257e-02  4.0812874462300e-02  7.4013584009827e-04
410 -7.2981379280082e-03  2.1041281123205e-03  3.5396888317543e-02  4.4895654412072e-03  4.1217311409744e-02  1.1084657974193e-03
414 -5.3811858740242e-03  7.7527932182976e-04  2.9883478491746e-02  2.3712461925296e-03  4.0909263819496e-02  1.2686593369425e-03
419 -4.9099438462199e-03  6.4231170889564e-04  2.9682840873298e-02  1.9166605207449e-03  4.0662082220260e-02  1.1589303980766e-03
425 -5.0925800275007e-03  1.1020342372395e-03  3.2356361606686e-02  1.4410930340350e-03  4.3197395776473e-02  1.7385164168560e-03
430 -5.4392842657307e-03  8.2522902101577e-04  3.3391368589254e-02  8.8497985624082e-04  4.2095543802387e-02  1.5380022837841e-03
435 -2.6395088326947e-03  1.9013052961987e-04  3.3646725557286e-02  1.4726552941898e-03  4.4893103686934e-02  2.3723461298306e-03
441 -3.0404263505303e-03  3.0841836686781e-04  3.6010783451062e-02  7.8566577506872e-04  4.9200130737562e-02  2.9808707099483e-03
449 -3.0508244237105e-03  3.4411258952310e-04  3.5675099570709e-02  1.0952049220808e-03  5.9835450347328e-02  3.0311247014419e-03
484 -1.3601275996353e-03  1.1998356731442e-04  3.8494473064377e-02  6.3788926527789e-04  7.3211116758348e-02  2.4321161668474e-03
529 -8.0305771993434e-04  1.0992427573790e-04  4.3446764248080e-02  1.1639380451007e-03  8.8153991096431e-02  5.3571039751531e-03
576 -6.0609871451629e-04  1.7653482021441e-04  3.9512561980778e-02  5.0969239659709e-04  1.1008462569330e-01  6.9753324884193e-03
625 -2.3504243665530e-04  1.6624934887653e-04  4.0176665357086e-02  9.4814109409423e-04  1.3846897813039e-01  1.7468410035705e-02
676 -3.1268538059533e-05  1.4580592599933e-04  4.0371686817450e-02  9.2604167097645e-04  1.6935246318568e-01  7.9919697245487e-03
729  1.2122429380612e-04  1.3899941632633e-04  4.0214090613384e-02  7.1237739977643e-04  1.9214371902843e-01  9.5701663233185e-03
