Data_Type,c_l,c_l_err,c2_l,c2_l_err,gamma,gamma_err,y_0,y_0_err,pcov,x_min,x_max,chi_sq,dof,red_chi_sq,p_value
bare,1.0027112545880021,2.997817811837173,400.00146843965257,1577.1016152169034,-2.0769290396840145,10.808542788677585,25510.25814605836,1509763732.4282482,"[[8.986911632968216, -2640.662078512605, -32.250035961202755], [-2640.6620785126047, 2487249.504719766, 8108.1711375572995], [-32.250035961202755, 8108.1711375572995, 116.82459721467421]]",0.00610328746,0.03817623,3.0106795709293572,9,0.33451995232548415,0.9638700587510467
smeared,1.0091594637174728,1.9348357799343319,400.0317788011681,3095.200511240424,-2.1017132461669505,7.245345953841393,25520.3008373396,5297987247.417378,"[[3.7435894953140947, -1462.4265995260164, -13.206661817905548], [-1462.4265995260164, 9580266.204782981, -2134.2154449545856], [-13.206661817905548, -2134.215444954586, 52.495037990845844]]",0.00615127692,0.038356716000000006,4.066112241995644,9,0.45179024911062715,0.9070074929453154
