Data_Type,Branch,y0_mean,y0_uncertainty,L2_mean,L2_uncertainty,row_count
bare,Branch_1,0.9391120789226047,0.027519608396296833,-4.905577337074368,29.567010970496174,1
bare,Branch_2,0.9391588009701917,0.028761526173207746,-4.788822947076866,30.233226005380025,1
bare,Branch_3,1.0267190190223086,0.029925448277278697,-150.782783419449,29.474553296526146,1
bare,Branch_4,1.0259874969412568,0.02909760291245176,-152.6307761658298,28.691020089093637,1
smeared,Branch_1,0.9396393084682209,0.02854850550674201,-5.088987162405374,16.467434635733376,1
smeared,Branch_2,0.9385262702916287,0.027828529905484074,-6.1440703162852826,16.5598679280884,1
smeared,Branch_3,1.0249472504545742,0.029436776462703495,-152.23681306354771,14.299089659171752,1
smeared,Branch_4,1.028121748548131,0.03056037342046958,-151.56154055853793,14.61316083185184,1
