Data_Type,c_l,c_l_err,gamma,gamma_err,y_0,y_0_err,pcov,x_min,x_max,chi_sq,dof,red_chi_sq,p_value
bare,-2.2277955498274586,3.385466497126564,-0.18212556827357013,1.773869158490953,1.2503415079594429,264.8817369247987,"[[11.461383403166408, -5.995748795389281], [-5.995748795389281, 3.1466117914454017]]",0.00610328746,0.03817623,3.8215821189253507,10,0.38215821189253507,0.9550369575972579
smeared,0.009396736782987167,436.1549458405262,-0.00015963842712037136,13.525883667245948,1.2586261944409651,0.10972814337791566,"[[190231.1367811523, -5899.381058332623], [-5899.381058332622, 182.9495289798707]]",0.00615127692,0.038356716000000006,1.560318173556843,10,0.1560318173556843,0.9987349003086202
