Data_Type,y_0,y_0_err,c_l,c_l_err,c2_l,c2_l_err,gamma,gamma_err,pcov,x_min,x_max,chi_sq,dof,red_chi_sq,p_value
bare,2.447299005174759,29788.25498135488,39.23960179291045,939.9952912217996,512.0157438750898,72.03874080035744,-3.266100973779183e-08,0.0008160740284773343,"[[887340134.8342137, 28000819.4161879, -2145908.37949678, -24.309408856154263], [28000819.4161879, 883591.1475191559, -67716.07713788372, -0.7671053531491956], [-2145908.37949678, -67716.07713788372, 5189.580176101083, 0.05878891545323944], [-24.309408856154263, -0.7671053531491957, 0.05878891545323944, 6.65976819955225e-07]]",0.00610328746,0.03817623,0.0003840595164857439,8,4.800743956071799e-05,0.9999999999999999
smeared,0.9736224197902842,50379.90821067952,73.75034267845581,11952514.44021059,402.2205613056801,2191465.690903964,1.063029259117644e-07,0.02788231517337187,"[[2538135151.3164935, 602164694050.0953, -110405494499.54964, 1404.6958965321337], [602164694050.0952, 142862601443442.66, -26193525315755.703, 333263.27626581833], [-110405494499.54964, -26193525315755.703, 4802521874409.1875, -61103.04569202643], [1404.6958965321335, 333263.27626581833, -61103.04569202643, 0.0007774234994272432]]",0.00615127692,0.038356716000000006,8.626994367746736e-05,8,1.078374295968342e-05,1.0
