Ensemble,Data_Type,Branch,y_0_central,y_0_stat_err,y_0_sys_err_lamb,y_0_total_err,chi_sq,red_chi_sq,p_value,y_0_up,y_0_down,L_prime_central,L_prime_up,L_prime_down
M_i,bare,negative,1.2072407513440984,0.006857978038196934,0.001808477900853367,0.007092422371113164,4.670317580945926,1.1675793952364815,0.32282706587541404,1.2090492292449517,1.2054322770089678,-1.5429573765473787,-1.4770598694571118,-1.6088548836376457
M_i,bare,positive,1.2919328208942364,0.006857978003688286,0.0018085912283480887,0.007092451235668104,2.435939456410578,0.6089848641026445,0.6561423690397653,1.2937414121225845,1.2901242312167995,1.5429573765473787,1.6088548836376457,1.4770598694571118
M_i,smeared,negative,1.2118851350774311,0.021252160361257863,0.0017354475937452207,0.021322900796356393,0.9423652409578489,0.23559131023946223,0.918405706970074,1.2136205826711763,1.2101496877752178,-1.5429573765473787,-1.4770598694571118,-1.6088548836376457
M_i,smeared,positive,1.2931543244871826,0.021252160362701968,0.0017354319371469806,0.021322899523527995,0.7750691495285762,0.19376728738214405,0.9417587985502233,1.2948897552472998,1.2914188925500356,1.5429573765473787,1.6088548836376457,1.4770598694571118
M_ii,bare,negative,1.1299170914590322,0.010293573319652643,0.005077565178724264,0.011477775038362528,0.3039690570964963,0.15198452854824815,0.8590015706396711,1.1349946566377564,1.1248395362757846,-1.5429573765473787,-1.4770598694571118,-1.6088548836376457
M_ii,bare,positive,1.3677029261063793,0.010293573227861268,0.005077887253622793,0.011477917439929906,0.24877929208435554,0.12438964604217777,0.8830357024744497,1.3727808133600021,1.3626250427142312,1.5429573765473787,1.6088548836376457,1.4770598694571118
M_ii,smeared,negative,1.145817720592697,0.02678439762485599,0.005032116147580146,0.02725300256942578,0.2660274493314812,0.1330137246657406,0.8754530767254681,1.1508498358467383,1.1407856044451168,-1.5429573765473787,-1.4770598694571118,-1.6088548836376457
M_ii,smeared,positive,1.3814656752485728,0.02678439780545846,0.0050320707223037164,0.0272529943594335,0.25386242855636165,0.12693121427818083,0.8807942565821897,1.3864977450830704,1.376433604526269,1.5429573765473787,1.6088548836376457,1.4770598694571118
M_iii,bare,negative,1.0081392993212406,0.01855054034883481,0.010012682554806807,0.021080236222041745,0.5649302600728906,0.18831008669096352,0.9044117126740508,1.0181519818760474,0.9981267047278677,-1.5429573765473787,-1.4770598694571118,-1.6088548836376457
M_iii,bare,positive,1.4770734375038932,0.018550540402535304,0.010013934678293479,0.021080831031228903,0.038013823667878,0.012671274555959332,0.9980511259868249,1.487087338579448,1.4670595028255997,1.5429573765473787,1.6088548836376457,1.4770598694571118
M_iii,smeared,negative,1.0349171012798923,0.02096654667522132,0.009673702982641252,0.02309061733433293,0.2896627048065435,0.0965542349355145,0.9619607762581214,1.0445908042625336,1.025243741809006,-1.5429573765473787,-1.4770598694571118,-1.6088548836376457
M_iii,smeared,positive,1.4879739236459568,0.02096654656127705,0.00966923761572347,0.023088746842899903,1.493940726145606,0.4979802420485353,0.6836695120937004,1.4976426247946915,1.4783046860302334,1.5429573765473787,1.6088548836376457,1.4770598694571118
