Data_Type,y_0,y_0_err,c_l,c_l_err,gamma,gamma_err,pcov,x_min,x_max,chi_sq,dof,red_chi_sq,p_value
bare,1.1418921727357958,0.01741853264483049,-3.7616983927531207,5353330.225344974,228.22425495536186,649577670.9794648,"[[0.00030340527949902546, -77133.59820950769, -9359453.425814206], [-77133.59820846617, 28658144501592.066, 3477403779761161.5], [-9359453.425759617, 3477403779761161.5, 4.219511506351058e+17]]",0.00610328746,0.03817623,3.03742547616991,9,0.33749171957443447,0.9627926594209979
smeared,1.1534474246400124,0.01913261284481661,-3.21557323894933,5335989.417048314,-109.0497045965042,357233261.4774232,"[[0.00036605687426964157, 31181.239207856393, -2087501.7484824134], [31181.239203066605, 28472783058851.6, -1906192902647959.5], [-2087501.7481616854, -1906192902647959.0, 1.2761560310579702e+17]]",0.00615127692,0.038356716000000006,3.8278840971607475,9,0.42532045524008305,0.9223710307784138
