Data_Type,y_0,y_0_err,c_l,c_l_err,c2_l,c2_l_err,gamma,gamma_err,pcov,x_min,x_max,chi_sq,dof,red_chi_sq,p_value
bare,1.5567335977585137,888.2773458423421,32.68698949772213,11.911939235804809,400.710020746951,0.9716988048644147,-2.1877405534672847e-08,4.603856550716604e-05,"[[789036.6431367159, 10581.105768215954, -863.1380353431383, -0.04089498816578115], [10581.105768215954, 141.89429635750605, -11.574817119049063, -0.0005484082379898977], [-863.1380353431382, -11.574817119049063, 0.9441985673749319, 4.473558997269175e-05], [-0.040894988165781146, -0.0005484082379898977, 4.473558997269176e-05, 2.1195495139576186e-09]]",0.00610328746,0.03817623,0.0034326919225906123,8,0.00042908649032382654,0.999999999999639
smeared,9.017444593866182,1342.6810495661048,507.8801652246856,4450949322.861318,387.2603776942087,3393863949.1648893,0.0010447278295181235,18311.52757422357,"[[1802792.4008639366, -93977470488.6614, -71658484879.56036, 386869.25978079997], [-93977470488.66139, 1.981094987467962e+19, 1.5105916446418782e+19, -81503681253190.3], [-71658484879.56036, 1.5105916446418784e+19, 1.1518312505441098e+19, -62146833285400.97], [386869.25978079997, -81503681253190.3, -62146833285400.96, 335312042.10155016]]",0.00615127692,0.038356716000000006,0.0007085496557333648,8,8.85687069666706e-05,0.9999999999999993
