Ensemble,Data_Type,y_0,y_0_err,c_l,c_l_err,c2_l,c2_l_err,chi_sq,dof,red_chi_sq,p_value
M_i,bare,1.136314043169449,0.02814524558552503,-342.5948888177989,1186.4053556676556,2.5099978036295676,7.622982997570934,0.9505792904366223,2,0.47528964521831113,0.6217049565158794
M_ii,bare,-18.278409345042796,1427083.8061975734,-4.8372147634228915,196506.25086732072,4.69984845875733,140519.6665680673,0.7791594426692126,0,,
M_ii,smeared,-53.93874666916788,,-24.176612974296997,,7.680187309845291,,0.06560995610692782,0,,
M_iii,bare,1.1376710020906255,0.05920479302496177,-51.80600762869103,289.8962168095383,2.1684579454423094,8.76232499638121,0.05371202564725548,1,0.05371202564725548,0.8167255525959747
M_iii,smeared,1.1552433955828645,0.02411475461406764,-37.59816988921011,145.94028372666807,1.5921722391219717,4.726473192780044,0.5193498655872429,1,0.5193498655872429,0.47111914263390475
