Ensemble,Data_Type,y_0,y_0_err,c_l,c_l_err,c2_l,c2_l_err,gamma,gamma_err,pcov,x_min,x_max,chi_sq,dof,red_chi_sq,p_value
M_i,bare,10.548036818742599,8110.393145497545,124.95965065296816,38464308.27033745,200.0000049693489,61549588.242846474,0.025579589833976537,15744.628993425142,"[[65778476.97453357, 82803438143.58815, 132130026483.7642, -33811100.15232061], [82803438143.58815, 1479503010715549.8, 2367461637057623.0, -605606125925.0103], [132130026483.7642, 2367461637057622.5, 3788351812863945.0, -969075427195.6746], [-33811100.15232061, -605606125925.0103, -969075427195.6746, 247893342.14060357]]",0.00610328746,0.007276540000000001,0.0009785863399942494,1,0.0009785863399942494,0.9750443544714831
M_i,smeared,1.5808703671136761,344.8713765524397,31.13333836491389,106254190.50455192,599.9996731566579,2048226156.4321613,32.05783689563495,218756709.0486395,"[[118936.26636517466, -26942840530.179924, -519476666281.99744, 55456612723.18234], [-26942840530.179924, 1.128995299977761e+16, 2.1763260661898403e+17, -2.3243816232951348e+16], [-519476666281.9974, 2.1763260661898403e+17, 4.1952303878928645e+18, -4.480631595766121e+17], [55456612723.182335, -2.3243816232951348e+16, -4.480631595766121e+17, 4.785449775379111e+16]]",0.00615127692,0.0071045200000000005,8.223468378708805e-05,1,8.223468378708805e-05,0.9927646153768752
M_ii,bare,1.3057235006590635,1003.9011507667806,20.46828853064499,544858.496987854,599.9993238338036,124083.88240681525,17.93953424435819,1763919.4403509267,"[[1007817.5205108663, 546983971.5372986, -124567921.87857077, -1770800302.5049376], [546983971.5372984, 296870781739.8633, -67608157377.03165, -961086489343.2089], [-124567921.87857075, -67608157377.031654, 15396809873.148355, 218873972382.29346], [-1770800302.5049374, -961086489343.2089, 218873972382.29346, 3111411792047.9263]]",0.0189501246,0.0194623104,2.9080786881327088e-05,-1,,
M_ii,smeared,7.408957881465334,45139.84546152139,40.75382181430412,316676.34602342464,599.9999953024995,732688.9170250451,83.04566713977722,2773428.777179197,"[[2037605648.2900333, 14294720327.95383, -33073460968.62232, -125192132938.01675], [14294720327.953833, 100283908130.74779, -232025248107.1907, -878279287473.346], [-33073460968.622314, -232025248107.19067, 536833049131.33344, 2032060527190.8276], [-125192132938.01674, -878279287473.3458, 2032060527190.8276, 7691907182085.695]]",0.019042439999999997,0.019137475499999997,9.179647760718763e-07,-1,,
M_iii,bare,3.401354727280305,1407.1640655510535,121.0009865854777,115613056.89812116,200.00014482972858,191079716.53510866,0.0061362098175909196,11725.067150694444,"[[1980110.7073781695, 66295574956.03534, 109527554642.07262, -6720902.693905537], [66295574956.03533, 1.33663789253282e+16, 2.2091309807510028e+16, -1355570836062.9197], [109527554642.0726, 2.2091309807510028e+16, 3.651145807113748e+16, -2240422507493.125], [-6720902.693905537, -1355570836062.9197, -2240422507493.125, 137477199.6882939]]",0.030305655400000003,0.03817623,6.519762097485078e-06,0,,
M_iii,smeared,2.45992404524648,496.78140101357326,-135.800695182295,190643904.92629802,200.0001106184843,280759959.33659774,0.002709737752249024,7607.799150486704,"[[246791.7603930087, -50049320621.88321, 73700254171.79082, -1997031.8183786718], [-50049320621.88321, 3.634509848554736e+16, -5.352517490043823e+16, 1450380534320.9614], [73700254171.79082, -5.352517490043823e+16, 7.882615476668803e+16, -2135965379995.131], [-1997031.8183786715, 1450380534320.9614, -2135965379995.1309, 57878607.91414622]]",0.031074336400000003,0.038356716000000006,1.0462314791822928e-05,0,,
