Data_Type,y_0,y_0_err,c_l,c_l_err,c2_l,c2_l_err,chi_sq,dof,red_chi_sq,p_value
bare,1.1393330733589138,0.01634084214225971,-5.474157055390602,22.664252357847392,0.334520637325741,0.25514448431885406,2.989371384688663,9,0.3321523760765181,0.9647148662346643
smeared,-6.214055576772895,266426.6855412365,0.0547808901838812,1102.9149369133502,3.0631428417149613,46110.21841839313,3.7406056011217803,9,0.4156228445690867,0.9276410013276883
