Data_Type,y_0,y_0_err,c_l,c_l_err,gamma,gamma_err,pcov,x_min,x_max,chi_sq,dof,red_chi_sq,p_value
bare,1.2495958639869509,0.0059651423889075595,-2.707986732681787,1300823.3255505941,473.9676548382102,460235930.14752465,"[[3.558292371994178e-05, -1400.5710025537082, -495524.3257307738], [-1400.5710026644817, 1692141324296.5068, 598685633190186.8], [-495524.325758391, 598685633190186.8, 2.118171113987572e+17]]",0.00610328746,0.03817623,3.81580767963064,9,0.4239786310700711,0.9231118487642616
smeared,1.2553378407758886,0.018610816577981883,-5.005415414576076,6321505.760564693,-163.51603963829209,415007797.26193315,"[[0.0003463624936992853, 48901.220824205375, -3210366.5817303937], [48901.22083592271, 39961435080852.6, -2623474181068310.5], [-3210366.582356596, -2623474181068311.0, 1.722314717882018e+17]]",0.00615127692,0.038356716000000006,1.4631867970886607,9,0.16257631078762896,0.9974107659160402
