Data_Type,y_0,y_0_err,c_l,c_l_err,c2_l,c2_l_err,chi_sq,dof,red_chi_sq,p_value
bare,0.2669915734064652,3852.7682652344306,-0.11895099923763734,263.6442784315512,1.366205709424285,2055.5478330022543,3.8203296628815,9,0.4244810736535,0.9228348870826908
smeared,-0.07136792071124172,8142.4001385334395,0.14013272370004168,482.68861651883697,1.531842899027042,3678.0960265613567,1.4589125130642695,9,0.16210139034047438,0.9974402541867474
