Data_Type,Branch,y_0_central,y_0_stat_err,y_0_sys_err_lamb,y_0_total_err,chi_sq,dof,red_chi_sq,p_value,y_0_up,y_0_down,L_prime_central,L_prime_up,L_prime_down
bare,negative,1.0494747294481415,0.008724070399965254,0.0038809765646807826,0.009548370721706995,77.3298781298814,11,7.029988920898308,4.8335619714256465e-12,1.0533557060128222,1.045594999118233,-1.5429573765473787,-1.4770598694571118,-1.6088548836376457
bare,positive,1.231661386325439,0.008724070461007937,0.003881938469452839,0.009548761788276482,65.71498118871997,11,5.974089198974543,7.904771710726554e-10,1.2355421195052847,1.2277794478559863,1.5429573765473787,1.6088548836376457,1.4770598694571118
smeared,negative,1.014882408446992,0.01329200324624017,0.005941238992509534,0.01455938429550422,39.25302736319061,11,3.5684570330173284,4.797650470388356e-05,1.0208236474395016,1.0089439054575675,-1.5429573765473787,-1.4770598694571118,-1.6088548836376457
smeared,positive,1.2940286656521403,0.013292003296530132,0.005940035012222067,0.014558893075415861,47.399037433320565,11,4.309003403029142,1.8265884961175834e-06,1.299965911476217,1.2880886306399182,1.5429573765473787,1.6088548836376457,1.4770598694571118
