Ensemble,Data_Type,y_0,y_0_err,c_l,c_l_err,gamma,gamma_err,pcov,x_min,x_max,chi_sq,dof,red_chi_sq,p_value
M_i,bare,3.4773952917762165,2.3519417685496564,-544.2492240480099,299.70652771421163,422083.0558053383,467037.2322468124,"[[5.531630082648486, -704.6480441097132, 1097979.5111769394], [-704.6480441096944, 89824.0027545095, -139973564.88508576], [1097979.5111769056, -139973564.88508534, 218123776304.76294]]",0.00610328746,0.007276540000000001,0.18688384797343438,2,0.09344192398671719,0.9107909109953054
M_i,smeared,1.320869550076212,0.19934525311971776,0.05846016881591344,217718.50969994528,-1571.400460973467,39186.267520134395,"[[0.03973852994136435, 17918.16380394529, 2459.40734581621], [17918.16380394498, 47401349465.96517, 8483698026.087243], [2459.407345816154, 8483698026.087236, 1535563562.1595397]]",0.00615127692,0.0071045200000000005,0.7001606507554913,2,0.35008032537774564,0.7046314876550355
M_ii,bare,1.2864551117412897,160.17774843227883,-0.4039643984017614,3351127.1663235016,-101.22523847115252,2972107.9387504263,"[[25656.9110928344, -536774307.3518583, 476063584.31101495], [-536774307.3515186, 11230053284871.38, -9959910991375.648], [476063584.31067, -9959910991374.732, 8833425599583.307]]",0.0189501246,0.0194623104,0.2457892259423099,0,,
M_ii,smeared,3.7001628687599495,59954.977885489745,-5.3470355010147195,96726820.4097266,-6650.129287363306,1138889348.544793,"[[3594599373.2495646, -5799254214634.638, 68282083177369.445], [-5799254214585.03, 9356077786575504.0, -1.1016114541830672e+17], [68282083176700.99, -1.1016114541817061e+17, 1.2970689482287828e+18]]",0.019042439999999997,0.019137475499999997,0.02979906640062353,0,,
M_iii,bare,2.122064073125871,9.984207513795786,64.01603023683323,422.43368400425953,3655.665715166069,49375.1374232108,"[[99.68439967853624, 4215.068751496531, 492577.4601347053], [4215.068751496123, 178450.2173814106, 20857470.344615813], [492577.46013465035, 20857470.344615526, 2437904195.560951]]",0.030305655400000003,0.03817623,0.03275567705255267,1,0.03275567705255267,0.8563791181964887
M_iii,smeared,1.9274631941409834,3.5193068126124105,-61.244651411134726,147.68413961412264,3445.298135790781,16391.953607588184,"[[12.385520441300123, -519.2197244235327, 57610.27736050032], [-519.2197244235322, 21810.605093563667, -2420770.9276887546], [57610.27736050028, -2420770.9276887546, 268696143.07332325]]",0.031074336400000003,0.038356716000000006,0.11167501985492471,1,0.11167501985492471,0.7382451490880093
