Ensemble,Data_Type,y_0,y_0_err,c_l,c_l_err,c2_l,c2_l_err,gamma,gamma_err,pcov,x_min,x_max,chi_sq,dof,red_chi_sq,p_value
M_i,bare,4.409065832211094,21187.896769496427,124.92644741676446,91814003.57291183,200.00001020691553,147228516.5474195,0.008999699395874305,13247.341068187156,"[[448926969.51483715, -1273703535462.9868, -2046864465654.057, 184122939.96091554], [-1273703535462.9868, 8429811252086667.0, 1.351761581066007e+16, -1216289788940.8164], [-2046864465654.057, 1.3517615810660068e+16, 2.1676236084753772e+16, -1950386319288.2188], [184122939.96091557, -1216289788940.8164, -1950386319288.2188, 175492045.37687802]]",0.00610328746,0.007276540000000001,0.00781871416113615,1,0.00781871416113615,0.9295400895022587
M_i,smeared,2.0266055166798296,91.33896860655551,18.724964309071364,34856533.26940637,599.9997404605639,1116913257.2168436,1205.537019815256,4488157763.0620775,"[[8342.807186109334, -600635886.5702846, -19252601560.600155, 77310371149.39078], [-600635886.5702845, 1214977911561233.2, 3.8931724031420664e+16, -1.564416200072349e+17], [-19252601560.600155, 3.8931724031420664e+16, 1.2474952241467392e+18, -5.012882861806114e+18], [77310371149.39076, -1.564416200072349e+17, -5.012882861806114e+18, 2.0143560106134393e+19]]",0.00615127692,0.0071045200000000005,1.2624407427674543e-05,1,1.2624407427674543e-05,0.9971650549277957
M_ii,bare,2.111767400688621,2180.6578053360386,32.92759649176419,91922.73462574874,599.999905108686,53666.45483386215,36.27829572967386,401908.50686820806,"[[4755268.463972989, 200451960.27268243, -117028117.33630139, -876424487.1737351], [200451960.27268243, 8449789141.075827, -4933167227.368254, -36944528485.73982], [-117028117.33630139, -4933167227.368254, 2880088374.4349666, 21569004728.427], [-876424487.1737351, -36944528485.73982, 21569004728.427, 161530447893.03244]]",0.0189501246,0.0194623104,5.0066083746808436e-05,-1,,
M_ii,smeared,12.009593074520701,125087.26741649864,41.75064556826974,484476.19400130375,409.4378160679056,520819.3255172403,43.09972359801222,2151559.630282196,"[[15646824469.726643, 60601801776.01794, -65147863895.4741, -269132704736.2343], [60601801776.01794, 234717182553.9889, -252324564284.02573, -1042379419300.6307], [-65147863895.474106, -252324564284.02576, 271252769832.23306, 1120573835438.0032], [-269132704736.23438, -1042379419300.6309, 1120573835438.0032, 4629208842660.062]]",0.019042439999999997,0.019137475499999997,1.530130381738031e-05,-1,,
M_iii,bare,4.914450333930834,1221.0844001393818,115.62571893017589,270693921.8039708,200.00000249783767,468217275.6884595,0.01272206821755026,59567.31385879016,"[[1491047.1122637542, 107915579204.86095, 186636591507.32648, -23745576.780990273], [107915579204.86095, 7.327519930161426e+16, 1.2674357048551998e+17, -16124509794883.59], [186636591507.32648, 1.2674357048551998e+17, 2.1922741725312288e+17, -27890445409374.566], [-23745576.780990273, -16124509794883.59, -27890445409374.566, 3548264880.3516145]]",0.030305655400000003,0.03817623,1.633457854036865e-05,0,,
M_iii,smeared,3.1022349686546056,394.6015088523,131.9567774494782,113912209.89438194,200.00001797490637,172649855.0588915,0.004125759388259892,7123.0510550777035,"[[155710.3507885118, 6878130354.581564, 10422425609.550894, -429830.92449071264], [6878130354.581565, 1.2975991563021728e+16, 1.9666926515812052e+16, -811402483158.1598], [10422425609.550894, 1.9666926515812052e+16, 2.9807972451856244e+16, -1229793729952.808], [-429830.9244907127, -811402483158.1598, -1229793729952.808, 50737856.33324358]]",0.031074336400000003,0.038356716000000006,1.1816721070782756e-05,0,,
