Ensemble,Data_Type,y_0,y_0_err,c_l,c_l_err,gamma,gamma_err,pcov,x_min,x_max,chi_sq,dof,red_chi_sq,p_value
M_i,bare,5.445934014658745,4.998114206439901,-766.8212017957304,448.55604314511044,840195.6041059846,983788.3353617869,"[[24.98114562061636, -2241.588793027803, 4916147.9559458885], [-2241.5887930278714, 201202.52384199816, -441283323.2717409], [4916147.955946049, -441283323.2717424, 967839488793.9156]]",0.00610328746,0.007276540000000001,0.4217660152563632,2,0.2108830076281816,0.8098688098119897
M_i,smeared,1.4167043652083184,9.816149219568244,0.21076048772351066,3502001.64911735,-6658.576887808975,2129263.9578164886,"[[96.35678550083023, 34367224.28493577, 20894457.289348323], [34367224.28493785, 12264015550420.639, 7456661704576.1875], [20894457.289349735, 7456661704576.238, 4533765002056.337]]",0.00615127692,0.0071045200000000005,0.4923201329542708,2,0.2461600664771354,0.781797075405928
M_ii,bare,1.597159495781365,263.5750537660246,0.6716381246298473,3325798.9525852846,-1265.0449776303178,4905853.040137433,"[[69471.80896776276, 876593031.9961914, 1293051531.5898902], [876593031.9965342, 11060938673017.377, 16315879034390.328], [1293051531.5904698, 16315879034391.27, 24067394051425.7]]",0.0189501246,0.0194623104,0.7775993464936164,0,,
M_ii,smeared,5.212174806497741,23014.463368333127,6.110370247682924,32300514.68441231,-11066.151533941525,437223770.5949744,"[[529665524.1323474, 743378796385.5305, 10062466629631.736], [743378796434.8679, 1043323248877935.4, 1.4122552736920606e+16], [10062466630396.064, 1.4122552737056028e+16, 1.9116462557328682e+17]]",0.019042439999999997,0.019137475499999997,0.06552753029911626,0,,
M_iii,bare,2.259707579638492,9.21587925205212,-68.70964597804507,362.26280763150453,4134.910317856391,45428.52584761245,"[[84.93243038840475, -3336.305047384572, 418294.44642498734], [-3336.305047383912, 131234.34179306045, -16456844.718830548], [418294.4464248925, -16456844.71883009, 2063750960.6871924]]",0.030305655400000003,0.03817623,0.05558780451560957,1,0.05558780451560957,0.8136106356604058
M_iii,smeared,1.4486729935152411,3.25545933468626,33.86554857828142,243.59002276480868,987.8261694403559,14919.595665632758,"[[10.598015479795908, 792.2319549245917, 48506.86017354365], [792.2319549245839, 59336.09919056002, 3634171.317111046], [48506.86017354309, 3634171.3171110395, 222594334.82596776]]",0.031074336400000003,0.038356716000000006,0.52622172865688,1,0.52622172865688,0.4681996690151522
