Data_Type,sigma_0,sigma_0_err,c_l,c_l_err,chi_sq,dof,red_chi_sq,p_value
bare,235831.55323032982,5856.488944801165,-2.791545218417394,52.727687916645294,0.41734928141341165,10,0.041734928141341165,0.9999972277329736
smeared,236605.8211165215,5169.543814300197,-8.422647340951636,9.801577878762107,0.618146539960861,10,0.0618146539960861,0.9999818160863678
