Data_Type,Branch,sigma_0_central,sigma_0_stat_err,sigma_0_sys_err_lamb,sigma_0_total_err,chi_sq,dof,red_chi_sq,p_value,sigma_0_up,sigma_0_down,lamb_prime_central,lamb_prime_up,lamb_prime_down
bare,negative,217275.61925496734,3341.5661643103967,737.2200175811013,3421.923112050646,16.015665606637707,11,1.455969600603428,0.140550295936271,218012.83927254844,216538.69695049876,-669.6,-642.6,-696.6
bare,positive,253961.98600047032,3341.56616007369,737.492000016151,3421.9817141880594,14.52945494702319,11,1.3208595406384718,0.20506757736488063,254699.19148906533,253224.49400045417,669.6,696.6,642.6
smeared,negative,213428.18186271316,4342.057586019319,931.7302047603007,4440.899149358223,11.33201742252136,11,1.0301834020473963,0.4158816837807544,214359.91206747346,212496.87102202215,-669.6,-642.6,-696.6
smeared,positive,259797.13414012347,4342.0575811681,931.2746227904863,4440.803582825178,13.54987539796857,11,1.2318068543607792,0.2589082754909159,260727.9704816894,258865.85951733298,669.6,696.6,642.6
