Data_Type,Branch,sigma_0_central,sigma_0_stat_err,sigma_0_sys_err_lamb,sigma_0_total_err,chi_sq,dof,red_chi_sq,p_value,sigma_0_up,sigma_0_down,lamb_prime_central,lamb_prime_up,lamb_prime_down
bare,negative,196447.82305969525,3405.6185967375095,736.7411831082427,3484.397451114338,16.320442485577544,11,1.4836765895979587,0.12964530064976326,197184.5642428035,195711.43240173953,-669.6,-642.6,-696.6
bare,positive,233130.71442114987,3405.61857431296,736.9792988597183,3484.4477841765975,16.789040396787186,11,1.526276399707926,0.11427244485165881,233867.3527337849,232393.73512229015,669.6,696.6,642.6
smeared,negative,192616.76112387338,4189.4082099922925,972.5493986131914,4300.8131187827385,12.125034236575411,11,1.1022758396886738,0.3543185940323347,193589.31052248657,191644.72898270827,-669.6,-642.6,-696.6
smeared,positive,241041.70093982687,4189.408223176365,971.6930355381919,4300.619561845848,18.76716299286776,11,1.7061057266243418,0.06540320988505148,242012.84122336874,240070.00790428868,669.6,696.6,642.6
