Ensemble,Data_Type,Branch,sigma_0_central,chi_sq,red_chi_sq,p_value,sigma_0_stat_err,sigma_0_sys_err,sigma_0_total_err,sigma_0_up,sigma_0_down,lamb_prime_central,lamb_prime_up,lamb_prime_down,c_pipi_central,c_pipi_up,c_pipi_down
M_i,bare,Branch_1,227098.70810175152,0.3308221239223161,0.08270553098057902,0.9877385968850438,4068.0325159259883,371.4195115161199,4086.8394534334575,231185.54755518498,223011.86864831805,-672.1596,-642.8307311281833,-701.4884688718166,0.01144479,0.012556225024809149,0.010333354975190851
M_i,bare,Branch_2,227330.0029228087,0.3248678937961946,0.08121697344904864,0.9881528270913681,4061.3268237645007,375.1047022896671,4077.883450085457,231407.88637289414,223252.11947272325,-669.7242,-641.6262537499172,-697.8221462500828,-0.0025412000000000004,-0.0010288575393284207,-0.00405354246067158
M_i,bare,Branch_3,244475.59067940642,0.13330752239043336,0.03332688059760834,0.9978749221715928,4236.149598464477,385.4910797557378,4251.57890227128,248727.1695816777,240224.01177713514,669.7242,698.674838591378,640.773561408622,0.0025412000000000004,0.0040561259386044796,0.0010262740613955217
M_i,bare,Branch_4,244706.8854702866,0.13092106153307106,0.032730265383267766,0.9979487049690641,4044.3864901544425,361.1992422383191,4055.878845364639,248762.76431565123,240651.00662492195,672.1596,700.632139978429,643.6870600215709,-0.01144479,-0.010341210381340749,-0.01254836961865925
M_i,smeared,Branch_1,226365.38658216118,0.43298017268538735,0.10824504317134684,0.9796887571931248,4560.26579225165,343.6917621500284,4567.639481908118,230933.0260640693,221797.74710025307,-672.1596,-644.8386793199378,-699.4805206800621,0.01144479,0.012554770227885825,0.010334809772114175
M_i,smeared,Branch_2,226593.9236220339,0.4303751248042634,0.10759378120106584,0.9799153141575626,4625.628275649795,375.86613183977585,4638.554433822598,231232.4780558565,221955.3691882113,-669.7242,-641.3634380597053,-698.0849619402946,-0.0025412000000000004,-0.0010195009727241107,-0.00406289902727589
M_i,smeared,Branch_3,243619.75323090368,0.3369368487401725,0.08423421218504312,0.9873066764061992,4633.183636436805,382.4177457611123,4668.4296445814525,248288.18287548513,238951.32358632222,669.7242,698.6029760188417,640.8454239811583,0.0025412000000000004,0.004044086479528394,0.001038313520471607
M_i,smeared,Branch_4,243848.2901987845,0.3354549488714273,0.08386373721785682,0.987411956717247,4581.543180269258,358.8998735084527,4582.903896572224,248431.1940953567,239265.38630221228,672.1596,700.6194366538641,643.6997633461358,-0.01144479,-0.010366251930249929,-0.01252332806975007
M_ii,bare,Branch_1,206857.75838328025,0.13434792689651487,0.06717396344825743,0.9350325257049754,3215.858569242982,1161.9810099862118,3458.116781510284,210315.87516479054,203399.64160176995,-672.1596,-643.9194935778451,-700.3997064221548,0.01144479,0.012550499014938633,0.010339080985061366
M_ii,bare,Branch_2,208348.49997097938,0.1320872236128532,0.0660436118064266,0.936090038823818,3288.4536119102636,1290.0643678133317,3475.4316643129564,211823.93163529233,204873.06830666642,-669.7242,-641.6078532468539,-697.8405467531461,-0.0025412000000000004,-0.0010587552891267243,-0.004023644710873277
M_ii,bare,Branch_3,264654.9666099615,0.0974162089705791,0.04870810448528955,0.9524591076677433,3432.0169917731255,1256.7341772670675,3671.916387562919,268326.88299752446,260983.0502223986,669.7242,697.3609955239446,642.0874044760554,0.0025412000000000004,0.0039938724279629315,0.0010885275720370696
M_ii,bare,Branch_4,266145.70820905553,0.09688783386225497,0.048443916931127484,0.9527107687512367,3416.0502652151486,1194.954508575779,3596.7959526112913,269742.50416166685,262548.9122564442,672.1596,701.1429749548021,643.1762250451978,-0.01144479,-0.010350443469931147,-0.012539136530068853
M_ii,smeared,Branch_1,207683.33665781212,0.10371995506911708,0.05185997753455854,0.949461803518183,4850.958832062358,1167.2705522652795,4972.841457364903,212656.17811517703,202710.4952004472,-672.1596,-643.7521021156106,-700.5670978843893,0.01144479,0.01256090288939531,0.01032867711060469
M_ii,smeared,Branch_2,209167.54649691583,0.10343046593854595,0.051715232969272974,0.9495992429007504,4834.731301661279,1333.8247839211024,5048.382147806723,214215.92864472256,204119.1643491091,-669.7242,-640.5209166984872,-698.9274833015128,-0.0025412000000000004,-0.0010379058324924606,-0.00404449416750754
M_ii,smeared,Branch_3,265313.2871157704,0.09643253026067496,0.04821626513033748,0.9529276797625293,5351.679882117281,1305.8778234293984,5558.555961689223,270871.8430774596,259754.73115408118,669.7242,698.4746503195292,640.9737496804707,0.0025412000000000004,0.004022654150533389,0.0010597458494666118
M_ii,smeared,Branch_4,266797.49695487414,0.09616172096569131,0.048080860482845655,0.9530567193351746,5834.734056656058,1168.0588224819107,5975.162189595117,272772.65914446925,260822.33476527903,672.1596,700.6016729263216,643.7175270736783,-0.01144479,-0.01033548156396389,-0.01255409843603611
M_iii,bare,Branch_1,173782.9431427102,1.5511802336601443,0.5170600778867148,0.6705093154085258,14719.071080281095,2433.484021483859,14961.907750072089,188744.85089278227,158821.03539263812,-672.1596,-643.6558762452415,-700.6633237547584,0.01144479,0.012546660826255721,0.010342919173744278
M_iii,bare,Branch_2,178135.23594031075,1.3437977148288114,0.4479325716096038,0.7187600728143726,14567.007143880941,2873.154145516616,14775.355945396403,192910.59188570717,163359.87999491434,-669.7242,-640.5659430140254,-698.8824569859746,-0.0025412000000000004,-0.001012678276754169,-0.004069721723245831
M_iii,bare,Branch_3,294532.8414171709,0.29742894744522197,0.09914298248174065,0.9605112984970395,14355.257113773496,2738.488854092254,14604.811352524828,309137.65276969573,279928.03006464604,669.7242,697.5263759039954,641.9220240960046,0.0025412000000000004,0.004018689857493834,0.0010637101425061662
M_iii,bare,Branch_4,298885.1342883646,0.39423553022026364,0.13141184340675455,0.9414307083969455,14924.429767677846,2386.410949465098,15162.596149841624,314047.7304382062,283722.538138523,672.1596,700.2854756928225,644.0337243071774,-0.01144479,-0.010346769867334214,-0.012542810132665786
M_iii,smeared,Branch_1,174028.27179444343,0.5331667324884182,0.17772224416280605,0.9115466896141625,4357.239477206839,2425.593324558633,4914.485201208287,178942.75699565173,169113.78659323513,-672.1596,-643.5966366572449,-700.722563342755,0.01144479,0.012565688991465226,0.010323891008534774
M_iii,smeared,Branch_2,178425.14477587712,0.4203866388592293,0.1401288796197431,0.9359996302110482,4386.383852353022,2745.3376591262245,5241.329959137432,183666.47473501455,173183.8148167397,-669.7242,-641.7638181799026,-697.6845818200974,-0.0025412000000000004,-0.0011108052023740412,-0.003971594797625959
M_iii,smeared,Branch_3,295702.9171838286,1.2358569631254541,0.41195232104181806,0.7444177953772042,5100.296634415702,2888.1483749255867,5759.752889010961,301462.67007283954,289943.16429481766,669.7242,698.8347147310533,640.6136852689467,0.0025412000000000004,0.00408456291651376,0.0009978370834862408
M_iii,smeared,Branch_4,300099.7902004251,1.4359834517693173,0.47866115058977243,0.6971221082082268,5294.840635984236,2387.43140856401,5879.226590243464,305979.01679066854,294220.5636101816,672.1596,700.0176885537755,644.3015114462244,-0.01144479,-0.010354445343852837,-0.012535134656147163
