Data_Type,sigma_0,sigma_0_err,c_l,c_l_err,chi_sq,dof,red_chi_sq,p_value
bare,215156.1679128516,3408.5973343405462,-5.915809308842354,21.794826997788885,1.6834172512765064,10,0.16834172512765064,0.9982412563699433
smeared,216326.0382754806,5263.658447768149,-9.558147187151324,7.028461249413873,2.187480305148712,10,0.21874803051487118,0.9946907763925951
