Ensemble,Data_Type,sigma_0,sigma_0_err,c_l,c_l_err,chi_sq,dof,red_chi_sq,p_value
M_i,bare,215236.45851563968,687212.0790041306,14.453473471854316,18223.824710053763,0.668834736834163,3,0.22294491227805432,0.8805086796678108
M_i,smeared,214229.2590715157,2047866.7424667738,14.384039805143411,53942.90257350294,1.2495397443403302,3,0.4165132481134434,0.7411487742556999
M_ii,bare,214971.62512114184,62562423.77840768,-4.9785858956859235,566119.1748463036,0.5496699239089555,1,0.5496699239089555,0.4584525944033402
M_ii,smeared,219491.33743118282,1135963240.8270433,-5.016411511047637,10353682.656637952,0.34210801499970794,1,0.34210801499970794,0.5586149557238562
M_iii,bare,216339.52334761602,1836324.3199276219,-2.7852892143967636,9520.773937272965,0.4222667433588564,2,0.2111333716794282,0.8096660731558313
M_iii,smeared,219304.63425348268,862142.0686820039,2.742636250453347,4354.640897534378,0.2526877911396727,2,0.12634389556983636,0.8813117154690507
