Ensemble,Data_Type,sigma_0,sigma_0_err,c_l,c_l_err,chi_sq,dof,red_chi_sq,p_value
M_i,bare,236215.3284360458,1082910.7178399116,14.285969794833033,28365.206822118464,0.20109051046765405,3,0.06703017015588468,0.977413060364843
M_i,smeared,236168.54504665194,1345960.7988117596,-14.178017762664192,34950.41176089629,0.36866682172825943,3,0.12288894057608647,0.9466363514295754
M_ii,bare,236458.47528957145,50769974.47313299,-4.97096963069155,459240.5030740279,0.09932196164574195,1,0.09932196164574195,0.7526448286819544
M_ii,smeared,238201.17550097572,793356775.9155183,-5.021819660807721,7227770.998299462,0.09769476218865628,1,0.09769476218865628,0.7546137458564014
M_iii,bare,235519.89387035463,1938642.6871938591,-2.796221208710494,10109.621125416326,0.10687021044963468,2,0.05343510522481734,0.9479674571427553
M_iii,smeared,230777.77925384883,32575.260107569746,-12.32214384292675,16.153553158963998,0.06416104478356097,2,0.03208052239178048,0.9684285987524975
