Ensemble,r_min,Sigma_a2,Error_Sigma_a2,Constant,Error_Constant,Chi2/dof,Num_Punts
D200,18,0.002469105162564639,0.0002000374979715917,-0.0071299074410188755,0.0038541395135420244,27.844069176199728,32
D200,19,0.0073765450913999735,0.00034381345689258566,-0.10454493602301024,0.006757838622474223,22.883254909755834,25
D200,20,0.01816255502150132,0.0006450051275622028,-0.3274114860963898,0.013193757463025282,6.973034423263082,16
D200,21,0.022333164664501116,0.0010820947808232132,-0.41793403225502274,0.023855318587135375,1.1986207038139278,8
D200,22,0.023155425307488264,0.0014030759215187176,-0.4377983044060791,0.03204908221636467,0.9745985430851176,6
D200,23,0.026585333978922248,0.0023148181939139844,-0.524576933603867,0.056541957284502384,0.14262088878390783,5
N200,18,0.009323320630807765,0.0003370134769189206,-0.14597465267543241,0.0064043221396838474,9.593831538629125,37
N200,19,0.015454508256985203,0.0005136159344223711,-0.2679973319071091,0.010040766400736959,2.7878424751419,29
N200,20,0.01980884272975534,0.0009425593865140455,-0.35982607868358507,0.01966981552636668,1.2719820615920103,19
N200,21,0.020229350613930188,0.0014936225986601549,-0.3697730570112137,0.03279793115802758,0.9412513707319481,11
N200,22,0.020928369223062442,0.0025284200382287717,-0.387361902392217,0.058747944159815345,0.6894050393350296,4
N200,23,0.025683743120404702,0.0050804196015863225,-0.5030973618692416,0.12228260236136695,0.21422740512453886,3
N203,18,0.006095537020089489,0.00038824052759819716,-0.09320930415512885,0.0072616026733035004,3.9305208222829,40
N203,19,0.011191703556486698,0.0007115485491824593,-0.1941351479739894,0.013897652840188849,2.414039092551127,32
N203,20,0.015648369761650283,0.0012424465157897019,-0.2862421156182147,0.02558267346067079,1.4465976066060418,22
N203,21,0.0180631551194753,0.0020270606227224463,-0.33924990655443843,0.04429790688368745,0.852982371447824,13
N203,22,0.01689372556913691,0.003455953846613057,-0.3098838359606296,0.08130976645414599,0.15432187406969025,6
N203,23,0.014685188330511524,0.004957818056432463,-0.25505228167304606,0.12000051311243903,0.0770956401412926,5
