Ensemble,r_min,Sigma_a2,Error_Sigma_a2,Constant,Error_Constant,Chi2/dof,Num_Punts,chi2_diff_from_1
D200,22,0.023155425307488264,0.0014030759215187176,-0.4377983044060791,0.03204908221636467,0.9745985430851176,6,0.02540145691488238
N200,21,0.020229350613930188,0.0014936225986601549,-0.3697730570112137,0.03279793115802758,0.9412513707319481,11,0.05874862926805191
N203,21,0.0180631551194753,0.0020270606227224463,-0.33924990655443843,0.04429790688368745,0.852982371447824,13,0.14701762855217604
