% (r/a)^2, a(V_0(r)-2*E_B), stat. error, a(V_1(r)-2*E_B), stat. error, a(V_2(r)-2*E_B), stat. error
16 -3.9770645318359e-01  1.4052827090939e-03 -1.5883594265148e-02  2.0564785666565e-03  1.0278987702167e-02  4.7917048789435e-04
18 -3.8700965175760e-01  1.2723656009730e-03 -1.4239123197505e-02  2.6185739713920e-03  1.1459086762327e-02  5.1431586067509e-04
21 -3.7131206835180e-01  1.3724111525918e-03 -1.3549912632012e-02  2.0063387431528e-03  1.2429055849519e-02  5.4567663551970e-04
25 -3.5441283333848e-01  1.4229344447467e-03  9.5695730663300e-05  2.7680430639392e-04  1.4110893923637e-02  5.1583253045083e-04
36 -3.1892589057218e-01  1.3929224474271e-03  2.0928668515089e-03  2.7702080188160e-04  1.6007260507382e-02  5.3924849818433e-04
49 -2.8724756810021e-01  1.4526967394875e-03  3.0638599855967e-03  2.4476764609798e-04  1.7152302129647e-02  8.0534794603077e-04
64 -2.5895006299961e-01  1.4958288808529e-03  3.3827055647589e-03  4.4157756664608e-04  1.8576103593322e-02  7.6948130303002e-04
81 -2.3241603723374e-01  1.9009470219829e-03  3.7191749278390e-03  4.9048832758012e-04  1.9333173808313e-02  7.4784246449428e-04
100 -2.0768899801591e-01  2.0681823909339e-03  4.1647283864428e-03  1.9903276291728e-04  1.9554091392337e-02  6.0813118691082e-04
121 -1.8416033115677e-01  2.2258773291280e-03  4.2358547964343e-03  2.0264747288602e-04  1.9619695781141e-02  5.2829614130934e-04
144 -1.5917860625499e-01  2.8601653121163e-03  4.2529862775977e-03  1.9000820320288e-04  1.9284741226558e-02  5.0638944726018e-04
169 -1.3669762991173e-01  2.9734025993683e-03  4.1496968043506e-03  1.9631564951395e-04  1.8896912807759e-02  4.6801313613802e-04
196 -1.1192696262938e-01  3.4100960685929e-03  4.1345262726015e-03  2.1085922865610e-04  1.8683548440701e-02  4.5715763412127e-04
225 -9.3997228451240e-02  3.3508276750982e-03  4.2084586935756e-03  2.0801708619253e-04  1.8500317443653e-02  4.6553693923891e-04
256 -7.5592583065427e-02  1.5561701140806e-03  4.8946858926906e-03  2.9808294797860e-04  1.7510215474060e-02  3.8026632163048e-04
289 -5.4650341950895e-02  1.8247906004984e-03  5.5365344422450e-03  3.5911586517161e-04  1.8034375033188e-02  6.6208796356445e-04
297 -5.2137613656341e-02  3.4943257644911e-03  5.1016761304119e-03  2.5671175143819e-04  1.9032937342760e-02  6.7734836719620e-04
