Data_Type,y_0,y_0_err,c_l,c_l_err,c2_l,c2_l_err,gamma,gamma_err,pcov,x_min,x_max,chi_sq,dof,red_chi_sq,p_value
bare,1.3371656872786462,131.3823944914406,118.3187606764992,916318320.5129153,200.00058317783243,1548928734.0900393,0.0002887014812573673,4471.732251649922,"[[17261.333582304524, -31941238004.756695, -54005313954.73644, 155895.0696987541], [-31941238004.756695, 8.396392645076097e+17, 1.419311773379305e+18, -4097530184444.61], [-54005313954.73644, 1.419311773379305e+18, 2.3991802232897715e+18, -6926394572382.799], [155895.0696987541, -4097530184444.61, -6926394572382.799, 19996389.330446076]]",0.00610328746,0.03817623,0.002436939873300959,8,0.00030461748416261985,0.9999999999999083
smeared,1.257115571623791,6.227339087258737,-21.134055177505047,7981995708.113551,468.39816027573175,176906374097.3581,5.642225266734673,4261961985.7736597,"[[38.77975210770048, -20742251928.708714, 459709951997.25665, -11075449698.42318], [-20742251928.708714, 6.371225548434315e+19, -1.412065918761666e+21, 3.401896227656345e+19], [459709951997.25665, -1.4120659187616663e+21, 3.1295865196274413e+22, -7.539682413425738e+20], [-11075449698.423182, 3.4018962276563456e+19, -7.539682413425738e+20, 1.8164319968179757e+19]]",0.00615127692,0.038356716000000006,0.0002834345774324629,8,3.542932217905786e-05,1.0
