Model,Data_Type,y_0,y_0_err,a,a_err,b,b_err,cov_matrix,chi_sq,dof,red_chi_sq,p_value
Poly0,bare,1.1405622863668146,0.008719665061367359,,,,,[[7.603255878243064e-05]],3.1299347389669654,11,0.2845395217242696,0.988894792185005
Poly1,bare,1.1474414163306665,0.028729903887137354,-0.7235424130999465,3.9195292393820473,10.731562865924078,89.50352406754122,"[[0.0008254073773641501, -0.10464639966428083, 2.24318101524257], [-0.10464639966428084, 15.36270945837081, -344.41430912036867], [2.2431810152425706, -344.41430912036867, 8010.88082050893]]",2.9917705717595786,9,0.33241895241773095,0.9646203448557128
Poly2,bare,1.1425128565267426,0.010610655965950904,,,-5.489439242303872,17.01491372688224,"[[0.00011258602002776953, -0.10287124929610694], [-0.10287124929610694, 289.50728913324576]]",3.0258481319299784,10,0.30258481319299785,0.9808092048368564
Poly0,smeared,1.1544627239242116,0.013269663107067784,,,,,[[0.00017608395897507586]],3.8451327282647116,11,0.34955752075133745,0.9742300754201638
Poly1,smeared,1.120710306637682,0.048603739801267955,4.165872394732514,6.040097341071315,-87.04919845320947,134.79588465641007,"[[0.0023623235226693587, -0.2669987741727187, 5.546153552505447], [-0.2669987741727188, 36.48277588961677, -803.3838833257204], [5.54615355250545, -803.3838833257205, 18169.930520304206]]",3.323548184657198,9,0.36928313162857757,0.9500755502301682
Poly2,smeared,1.1511981958613737,0.020206342305374343,,,4.687096316968388,21.878939667820276,"[[0.00040829626936196085, -0.33340252917470303], [-0.33340252917470303, 478.6880009881196]]",3.799238712940652,10,0.37992387129406524,0.9559495047455522
